Country/Territory,Status,PR Rating,CL Rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
South Sudan,NF,7,7,0,0,1,1,1,0,0,0,1,0,0,0,0,4,-2,0,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,2
Spain,F,1,1,4,4,3,11,4,4,4,4,16,4,3,4,11,0,38,3,4,4,4,15,3,4,4,11,4,4,4,3,15,4,4,4,3,15,56,94
Sri Lanka,PF,3,4,3,3,2,8,3,3,2,2,10,3,2,2,7,1,24,2,2,2,2,8,2,3,3,8,2,2,2,1,7,2,2,2,2,8,31,55
St. Kitts and Nevis,F,1,1,4,3,3,10,4,4,4,4,16,4,3,3,10,0,36,3,4,4,4,15,4,4,4,12,4,3,3,3,13,4,3,3,3,13,53,89
St. Lucia,F,1,1,4,4,3,11,4,4,4,4,16,4,3,4,11,0,38,3,4,4,4,15,4,4,4,12,3,3,3,3,12,4,4,3,3,14,53,91
St. Vincent and the Grenadines,F,1,1,4,4,3,11,4,4,4,3,15,4,3,3,10,0,36,3,4,4,4,15,4,4,4,12,3,3,4,3,13,4,4,3,3,14,54,90
Sudan,NF,7,7,1,1,0,2,1,1,1,1,4,1,0,0,1,3,4,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4,8
Suriname,F,2,2,4,4,4,12,4,4,3,3,14,4,2,2,8,0,34,3,4,4,4,15,4,4,3,11,2,1,3,2,8,3,2,3,2,10,44,78
Swaziland,NF,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,1,1,5,0,1,1,2,1,1,1,1,4,1,1,1,1,4,15,16
Sweden,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
Switzerland,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,0,39,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,3,15,57,96
Syria,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
Taiwan,F,1,1,4,4,4,12,4,4,3,4,15,4,3,3,10,0,37,4,4,4,4,16,4,4,3,11,4,4,4,3,15,4,3,4,3,14,56,93
Tajikistan,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,0,1,1,2,1,0,0,1,2,1,1,1,1,4,10,11
Tanzania,PF,4,4,3,2,2,7,2,2,3,2,9,2,2,2,6,0,22,1,3,2,1,7,2,2,2,6,2,2,2,2,8,3,2,2,2,9,30,52
Thailand,NF,6,5,0,0,0,0,1,1,0,1,3,0,2,1,3,0,6,1,3,1,1,6,1,1,2,4,1,1,1,2,5,3,2,3,2,10,25,31
The Gambia,PF,4,5,2,3,2,7,2,3,2,2,9,2,1,1,4,0,20,2,2,1,2,7,1,2,2,5,1,0,1,1,3,2,2,1,1,6,21,41
Tibet,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1
Timor-Leste,F,2,3,4,4,3,11,4,4,3,3,14,3,2,2,7,0,32,3,3,4,3,13,3,3,2,8,1,1,3,2,7,3,2,2,2,9,37,69
